SBD,Văn ,Toán ,Anh ,Tổng
180162,5.25,4,5.75,15
180176,4,5.75,5.25,15
180204,6.25,3.75,5,15
180256,6.25,4.5,4.25,15
180257,4.75,3,7.25,15
180269,4.5,4.75,5.75,15
180298,5.25,5,4.75,15
180011,4.75,5,5,14.75
180135,5.25,6.75,2.75,14.75
180188,3.25,6.25,5.25,14.75
180315,5.5,4.25,5,14.75
180035,5.25,3.75,5.5,14.5
180082,4.25,6.5,3.75,14.5
180092,5,3.75,5.75,14.5
180136,4.75,6.25,3.5,14.5
180137,5.75,2.5,6.25,14.5
180233,3.5,6.75,4.25,14.5
180234,3.75,4.75,6,14.5
180285,6.75,3.5,4.25,14.5
180004,4.25,5.25,4.75,14.25
180005,5.75,4.25,4.25,14.25
180126,4.5,5,4.75,14.25
180194,5.5,4,4.75,14.25
180232,4.5,5.75,4,14.25
180248,6.25,3.5,4.5,14.25
180291,5,4,5.25,14.25
180124,5,2.75,6.25,14
180152,4.5,3.75,5.75,14
180253,5,3.5,5.5,14
180029,4.25,5.25,4.25,13.75
180043,3.75,4.75,5.25,13.75
180182,5.5,3.5,4.75,13.75
180199,5,3.5,5.25,13.75
180114,5.75,2.75,5,13.5
180133,6,2.5,5,13.5
180134,4.75,3.5,5.25,13.5
180184,4.5,3.5,5.5,13.5
180236,6,2.75,4.75,13.5
180258,6.75,1.5,5.25,13.5
180282,5.5,2,6,13.5
180294,5.5,3,5,13.5
180295,5.75,4,3.75,13.5
180309,4.25,3.75,5.5,13.5
180047,3.75,6.25,3.25,13.25
180094,3.5,3.25,6.5,13.25
180219,3.25,3.75,6.25,13.25
180262,5.75,3,4.5,13.25
180007,4,6.5,2.5,13
180021,3.25,4,5.75,13
180241,5.25,3.25,4.5,13
180306,5,2.25,5.75,13
180312,5.25,4.75,3,13
180002,3.25,3.75,5.75,12.75
180052,3,4.25,5.5,12.75
180170,5.5,3.5,3.75,12.75
180307,6,2.75,4,12.75
180036,4.75,3.5,4.25,12.5
180149,3.75,3.25,5.5,12.5
180161,5.5,2.25,4.75,12.5
180190,4.75,3.75,4,12.5
180197,4,4.25,4.25,12.5
180206,4.25,3.75,4.5,12.5
180230,5.25,5,2.25,12.5
180245,4.75,5,2.75,12.5
180250,6.5,2.25,3.75,12.5
180278,3.5,4.5,4.5,12.5
180169,5.5,1.5,5.25,12.25
180198,3.75,5.25,3.25,12.25
180292,5,2.5,4.75,12.25
180314,5,3.25,4,12.25
180073,4.25,3.25,4.5,12
180076,4.75,4.5,2.75,12
180131,4,4.25,3.75,12
180189,4.75,2,5.25,12
180299,4.75,2.5,4.75,12
180305,5.25,4,2.75,12
180100,3.75,4,4,11.75
180216,3.75,4.5,3.5,11.75
180227,5.75,0.75,5.25,11.75
180297,5.25,3.25,3.25,11.75
180009,3.75,3,4.75,11.5
180015,4.5,3,4,11.5
180037,4.25,2.75,4.5,11.5
180041,3,3.25,5.25,11.5
180080,4.5,3,4,11.5
180240,4,3.75,3.75,11.5
180271,4.5,1.75,5,11.25
180310,4,1.5,5.5,11
180317,4.5,2.75,3.75,11
180128,2.5,2.5,5.75,10.75
180146,2.5,4.25,4,10.75
180120,3.25,3,4.25,10.5
180235,4.25,1.25,5,10.5
180085,3.25,3.75,3.25,10.25
180089,2.75,1.5,6,10.25
180154,3.75,1.75,4.75,10.25
180079,2,5,3,10
180096,3.5,3,3.5,10
180179,4.75,2.75,2.5,10
180185,3.5,1.75,4.75,10
180263,5.5,2,2.5,10
180147,2.5,3.5,3.75,9.75
180148,3.25,3,3.5,9.75
180213,3,2.5,4.25,9.75
180265,4.5,1.25,4,9.75
180034,3.25,2.75,3.5,9.5
180118,3,2.5,4,9.5
180259,4.5,2.25,2.75,9.5
180027,4.75,1.25,3.25,9.25
180062,3.25,1.5,4.5,9.25
180067,5.25,2,2,9.25
180075,4.75,2,2.5,9.25
180157,3.5,2,3.75,9.25
180220,2.75,1.25,5.25,9.25
